Protein_ID (FAMeDB)	Protein name (as in reference)	Protein description	Protein names (Uniprot)	Acc.No.	locus tag (alternative e.g. not in uniprot)	InterPro	InterPro description	EC number (eggNOG)	Ortholog_Cluster_(similarity_of_domain_composition)	KEGG_ko_kofam	KEGG_ko_koala	Organism	Organism (ID)	Taxonomic lineage (Ids)	References (DOI ID)
NRRL3_01526	KctA	3-Oxoadipyl-CoA thiolase (EC 2.3.1.174)		N/A		IPR002155; IPR050215; IPR016039; IPR020616; IPR020617; IPR020615; IPR020610; IPR020613	Thiolase; Thiolase-like superfamily, Thiolase; Thiolase-like; Thiolase, N-terminal; Thiolase, C-terminal; Thiolase, acyl-enzyme intermediate active site; Thiolase, active site; Thiolase, conserved site	2.3.1.16	53	K07513	K07513	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	10.1039/C5SC04027B
NRRL3_01886	KstA	Succinyl-CoA:3-Oxoadipate CoA-transferase (EC 2.8.3.6)		N/A		IPR012792; IPR014388; IPR004165; IPR037171; IPR012791	3-oxoacid CoA-transferase, subunit A; 3-oxoacid CoA-transferase; Coenzyme A transferase family I; NagB/RpiA transferase-like; 3-oxoacid CoA-transferase, subunit B	2.8.3.5	40	K01027	K01027	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	10.1039/C5SC04027B
Q59Z19	OSC1	Succinyl-CoA:3-Oxoadipate CoA-transferase (EC 2.8.3.6)	Succinyl-CoA:3-ketoacid-coenzyme A transferase (EC 2.8.3.5)	Q59Z19	C2_07240C_A	IPR004165; IPR014388; IPR037171; IPR012792; IPR004164; IPR012791	Coenzyme A transferase family I; 3-oxoacid CoA-transferase; NagB/RpiA transferase-like; 3-oxoacid CoA-transferase, subunit A; Coenzyme A transferase active site; 3-oxoacid CoA-transferase, subunit B	2.8.3.5	40	K01027	K01027	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1073/pnas.1803615115
Q5AD21	POT1-2	3-Oxoadipyl-CoA thiolase (EC 2.3.1.174)	Pot1-2p	Q5AD21	C2_00780W	IPR050215; IPR002155; IPR016039; IPR020617; IPR020616; IPR020613	Thiolase-like superfamily, Thiolase; Thiolase; Thiolase-like; Thiolase, C-terminal; Thiolase, N-terminal; Thiolase, conserved site	2.3.1.16	53	K07513	K07513	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1073/pnas.1803615115
G8BEF7	OCT1	Mitochondrial 3-oxoadipyl-CoA thiolase (EC 2.3.1.174)	Acetyl-CoA C-acyltransferase	G8BEF7	CPAR2_212970	IPR050215; IPR020616; IPR020617; IPR016039; IPR002155; IPR020613	Thiolase-like superfamily, Thiolase; Thiolase, N-terminal; Thiolase, C-terminal; Thiolase-like; Thiolase; Thiolase, conserved site	2.3.1.16	53	N/A	K07513	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) (Yeast) (Monilia parapsilosis)	578454	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5480	10.1002/anie.201411297
A0A177DVY4	AaCHD2	Catechol 1,2-dioxygenase	Aromatic compound dioxygenase	A0A177DVY4		IPR000627; IPR039390; IPR007535; IPR015889; IPR050770	Intradiol ring-cleavage dioxygenase, C-terminal; Hydroxyquinol/catechol 1,2-dioxygenase; Catechol dioxygenase, N-terminal; Intradiol ring-cleavage dioxygenase, core; Intradiol Ring-Cleavage Dioxygenase	1.13.11.1	6	K03381	K03381	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715962, 147541, 451868, 92860, 715340, 28556, 5598, 2499237, 187734	10.1002/anie.201411297
Q5B6D5	AN3895	Cis,cis-muconate cycloisomerase (CoA-transferase family III)	CAIB/BAIF family enzyme (AFU_orthologue AFUA_1G05360)	Q5B6D5	AN3895	IPR023606; IPR003673; IPR052985	CoA-transferase family III domain 1 superfamily; CoA-transferase family III; CoA-transferase III family involved in biosynthesis and detoxification	N/A	8	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1038/ncomms3876; 10.1021/acs.orglett.2c02438
Q5B5W9	AN4061	Muconolactone isomerase (5.3.3.4)	SnoaL-like domain-containing protein	Q5B5W9	AN4061	IPR032710	NTF2-like domain superfamily	N/A	19	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1021/jacs.5b03022
AN4531b	AN4531b	3-Oxoadipate enol-lactone hydrolase (EC 3.1.1.24)		NA		IPR029058; IPR000073; IPR050266	Alpha/Beta hydrolase fold; Alpha/beta hydrolase fold-1; AB hydrolase superfamily	N/A	9	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	10.1021/cb400691z
Q5B4J8	AN4532	Catechol 1,2-dioxygenase (EC 1.13.11.1)	Catechol dioxygenase, putative (AFU_orthologue AFUA_2G02910)	Q5B4J8	AN4532	IPR000627; IPR050770; IPR007535; IPR039390; IPR015889	Intradiol ring-cleavage dioxygenase, C-terminal; Intradiol Ring-Cleavage Dioxygenase; Catechol dioxygenase, N-terminal; Hydroxyquinol/catechol 1,2-dioxygenase; Intradiol ring-cleavage dioxygenase, core	1.13.11.1	6	K03381	K03381	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1038/s41467-018-04364-9
NRRL3_04787	CrcA	Catechol 1,2-dioxygenase (EC 1.13.11.1)		N/A		IPR015889; IPR007535; IPR039390; IPR000627; IPR050770	Intradiol ring-cleavage dioxygenase, core; Catechol dioxygenase, N-terminal; Hydroxyquinol/catechol 1,2-dioxygenase; Intradiol ring-cleavage dioxygenase, C-terminal; Intradiol Ring-Cleavage Dioxygenase	1.13.11.1	6	K03381	K03381	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	10.1016/j.nbt.2026.01.015
A0A060T9I8	Acdo1p	Catechol 1,2-dioxygenase (also putative pyrogallol dioxygenase)	ARAD1D18458p	A0A060T9I8		IPR000627; IPR015889; IPR050770; IPR007535	Intradiol ring-cleavage dioxygenase, C-terminal; Intradiol ring-cleavage dioxygenase, core; Intradiol Ring-Cleavage Dioxygenase; Catechol dioxygenase, N-terminal	N/A	6	N/A	N/A	Blastobotrys adeninivorans (Yeast) (Arxula adeninivorans)	409370	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239873, 3243772, 410830, 43971	10.1038/s41467-018-06202-4
P86029	HQD2	Catechol 1,2-dioxygenase (EC 1.13.11.1)	Catechol 1,2-dioxygenase (EC 1.13.11.1)	P86029	C4_02230C_A	IPR039390; IPR015889; IPR050770; IPR000627; IPR007535	Hydroxyquinol/catechol 1,2-dioxygenase; Intradiol ring-cleavage dioxygenase, core; Intradiol Ring-Cleavage Dioxygenase; Intradiol ring-cleavage dioxygenase, C-terminal; Catechol dioxygenase, N-terminal	1.13.11.1	6	K03381	K03381	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1002/adsc.201901396
Q5AMS5	MCI1	Cis,cis-muconate cycloisomerase (CoA-transferase family III)	Uncharacterized protein	Q5AMS5	C4_02190C_A	IPR052985; IPR023606; IPR003673	CoA-transferase III family involved in biosynthesis and detoxification; CoA-transferase family III domain 1 superfamily; CoA-transferase family III	N/A	8	N/A	N/A	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1073/pnas.1201469109; 10.1002/anie.201403450; 10.1128/genomea.01559-14; 10.1021/acscatal.8b04575
A0A1D8PLG7	MLI1	Muconolactone isomerase	SnoaL-like domain-containing protein	A0A1D8PLG7	C4_02200C_A	IPR032710	NTF2-like domain superfamily	N/A	19	N/A	N/A	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1038/ncomms5686
Q5AMS7	OEL1	3-Oxoadipate enol-lactone hydrolase (EC 3.1.1.24)	AB hydrolase-1 domain-containing protein	Q5AMS7	C4_02210W_A	IPR029058; IPR000073; IPR050266	Alpha/Beta hydrolase fold; Alpha/beta hydrolase fold-1; AB hydrolase superfamily	N/A	9	N/A	N/A	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1007/s00253-021-11311-0
A0A2H3GAL0	FGSG_03667	Catechol 1,2-dioxygenase (EC 1.13.11.1)	Catechol dioxygenase	A0A2H3GAL0	FGSG_03667	IPR050770; IPR000627; IPR007535; IPR039390; IPR015889	Intradiol Ring-Cleavage Dioxygenase; Intradiol ring-cleavage dioxygenase, C-terminal; Catechol dioxygenase, N-terminal; Hydroxyquinol/catechol 1,2-dioxygenase; Intradiol ring-cleavage dioxygenase, core	1.13.11.1	6	K03381	K03381	Fusarium graminearum (Wheat head blight fungus)	5518	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222543, 5125, 110618, 5506, 569360	10.1007/s00253-021-11311-0
A0A084G3Y6	SAPIO_CDS6464	Muconolactone isomerase (evidence limited to its presence in a gene cluster)	SnoaL-like domain-containing protein	A0A084G3Y6		IPR037401; IPR032710	SnoaL-like domain; NTF2-like domain superfamily	N/A	19	N/A	N/A	Scedosporium apiospermum (Pseudallescheria apiosperma)	563466	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222543, 5592, 5593, 41687	10.1007/s00253-021-11311-0
A0A084G3Y7	SAPIO_CDS6465	3-Oxoadipate-enol lactonase (evidence limited to its presence in a gene cluster)	Alpha/beta hydrolase fold family protein	A0A084G3Y7		IPR029058; IPR000073; IPR022742; IPR050266	Alpha/Beta hydrolase fold; Alpha/beta hydrolase fold-1; Serine aminopeptidase, S33; AB hydrolase superfamily	N/A	9	N/A	N/A	Scedosporium apiospermum (Pseudallescheria apiosperma)	563466	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222543, 5592, 5593, 41687	10.1007/s00253-021-11311-0
A0A084FYU9	SAPIO_CDS8719	Catechol 1,2-dioxygenase (evidence limited to its presence in a gene cluster)	Catechol 1,2-dioxygenase	A0A084FYU9		IPR000627; IPR015889; IPR050770; IPR007535; IPR039390	Intradiol ring-cleavage dioxygenase, C-terminal; Intradiol ring-cleavage dioxygenase, core; Intradiol Ring-Cleavage Dioxygenase; Catechol dioxygenase, N-terminal; Hydroxyquinol/catechol 1,2-dioxygenase	1.13.11.1	6	K03381	K03381	Scedosporium apiospermum (Pseudallescheria apiosperma)	563466	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222543, 5592, 5593, 41687	10.1007/s00253-021-11311-0
A0A084FYV0	SAPIO_CDS8720	Muconate cycloisomerase (evidence limited to its presence in a gene cluster)	Caib baif family enzyme	A0A084FYV0		IPR052985; IPR023606; IPR003673	CoA-transferase III family involved in biosynthesis and detoxification; CoA-transferase family III domain 1 superfamily; CoA-transferase family III	N/A	8	N/A	N/A	Scedosporium apiospermum (Pseudallescheria apiosperma)	563466	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222543, 5592, 5593, 41687	10.1007/s00253-021-11311-0
J4UJS3	A1Q1_06758	Muconate cycloisomerase (evidence limited to its presence in a gene cluster)	Muconate cycloisomerase 1	J4UJS3		IPR029058; IPR015943; IPR050282; IPR000073; IPR019405	Alpha/Beta hydrolase fold; WD40/YVTN repeat-like-containing domain superfamily; Cycloisomerase 2; Alpha/beta hydrolase fold-1; Lactonase, 7-bladed beta-propeller	N/A	58	K14334	N/A	Trichosporon asahii var. asahii (strain ATCC 90039 / CBS 2479 / JCM 2466 / KCTC 7840 / NBRC 103889/ NCYC 2677 / UAMH 7654) (Yeast)	1186058	131567, 2759, 33154, 4751, 451864, 5204, 5302, 155616, 1851469, 1759442, 5552, 82508, 189963	10.1007/s00253-021-11311-0
